jid,formula,spg,dim,norb,nk,group,band,rank,W_band,W_group_max,W_span,d_iso,M_trg,lam,nphi,unif,Emid,M_manifold_diag,lam_manifold_diag,Tc_R1.00,binds_R1.00,cap_R1.00,U_R1.00,Tc_R0.85,binds_R0.85,cap_R0.85,U_R0.85,Tc_R0.55,binds_R0.55,cap_R0.55,U_R0.55,efermi,group_Emin,group_Emax,ef_inside,filling,band_Emin,band_Emax,ef_status,lamM
JVASP-6397,CrI2,12,2,56,40,38-39,39,2,0.34921770736903524,0.34921770736903657,0.35620350016358593,0.16280396756571625,3.294486955544447,0.11447468681382061,8.90760315541957,0.1817298901843168,-2.385857193481489,0.5170330493769699,0.1158042729008786,27.034182979490062,amp,iso,0.08140198378285812,27.034182979490062,amp,iso,0.08140198378285812,27.034182979490062,amp,iso,0.08140198378285812,-2.2019,-2.5820310506593587,-2.2258275504957727,False,1.0,-2.5750452578648093,-2.2258275504957727,fail_ef_outside,0.3771353624481679
JVASP-6418,AlBr3,2,2,64,40,0-1,0,2,0.05059941277811575,0.05411469491308196,0.056977995904880174,0.34887896091936454,0.0019221869422071458,0.2585571735778455,3.867794844355969,0.3279334879308285,-19.98887499186955,0.0010787722634318948,0.20150359296018291,0.5800614616767532,stiff,iso,0.17443948045968227,0.49305224242524026,stiff,iso,0.17443948045968227,0.3190338039222143,stiff,iso,0.17443948045968227,-5.3358,-20.011133840210885,-19.954155844306005,False,1.0,-20.011133840210885,-19.960534427432773,fail_ef_outside,0.0004969952228653211
JVASP-6418,AlBr3,2,2,64,40,0-1,1,2,0.05411469491308907,0.05411469491308196,0.056977995904880174,0.34887896091936454,0.0019018225128949568,0.2587945287010202,3.8642447086631035,0.32801463064453634,-19.98392254744892,0.0010787722634318948,0.20150359296018291,0.5739160549144549,stiff,iso,0.17443948045968227,0.48782864667728665,stiff,iso,0.17443948045968227,0.31565383020295024,stiff,iso,0.17443948045968227,-5.3358,-20.011133840210885,-19.954155844306005,False,1.0,-20.008270539219087,-19.954155844306005,fail_ef_outside,0.0004921812608976403
JVASP-6418,AlBr3,2,2,64,40,2-3,2,2,0.045164175602483425,0.04726347531336117,0.048721117112766166,0.34887896091936454,0.0028503953778948724,0.30438306110634444,3.285662767193834,0.3581958830139134,-19.58132690868141,0.0019606653116907933,0.2354660877798981,0.8601684222034324,stiff,iso,0.17443948045968227,0.7311431588729176,stiff,iso,0.17443948045968227,0.4730926322118879,stiff,iso,0.17443948045968227,-5.3358,-19.60527688338664,-19.556555766273874,False,1.0,-19.60527688338664,-19.560112707784167,fail_ef_outside,0.0008676120704870167
JVASP-6418,AlBr3,2,2,64,40,2-3,3,2,0.04726347531337893,0.04726347531336117,0.048721117112766166,0.34887896091936454,0.0028165259328462424,0.3040926849405513,3.2888029655789435,0.3579404588700859,-19.57838828834584,0.0019606653116907933,0.2354660877798981,0.8499475850050849,stiff,iso,0.17443948045968227,0.7224554472543221,stiff,iso,0.17443948045968227,0.4674711717527967,stiff,iso,0.17443948045968227,-5.3358,-19.60527688338664,-19.556555766273874,False,1.0,-19.603819241587235,-19.556555766273874,fail_ef_outside,0.0008564849331239048
JVASP-6418,AlBr3,2,2,64,40,16-17,16,2,0.14513148524522457,0.14513148524522101,0.14560030163020343,0.23584451755766977,0.09991506284848536,0.08188600361926812,12.229533007757517,0.12885743591995974,-8.742796649750984,0.07980519226990526,0.08056524121146105,20.382636561493253,stiff,iso,0.11792225877883489,17.325241077269265,stiff,iso,0.11792225877883489,11.210450108821291,stiff,iso,0.11792225877883489,-5.3358,-8.81139374669422,-8.665793445064017,False,1.0,-8.81139374669422,-8.666262261448999,fail_ef_outside,0.008181645198030475
JVASP-6418,AlBr3,2,2,64,40,16-17,17,2,0.14505326925763917,0.14513148524522101,0.14560030163020343,0.23584451755766977,0.09993352660670607,0.08186457931029074,12.232596150366936,0.1287704308336978,-8.74223725435102,0.07980519226990526,0.08056524121146105,20.3864031614697,stiff,iso,0.11792225877883489,17.328442687249247,stiff,iso,0.11792225877883489,11.212521738808338,stiff,iso,0.11792225877883489,-5.3358,-8.81139374669422,-8.665793445064017,False,1.0,-8.810846714321658,-8.665793445064017,fail_ef_outside,0.008181016114651739
JVASP-6418,AlBr3,2,2,64,40,52-53,52,2,0.3448346689285434,0.34483466892854375,0.3452814955468946,0.3273698830313073,0.3667953122437248,0.09684808108987912,10.459570663060415,0.15302836258860147,0.012467723830322236,0.09999391542852071,0.07385006331604117,45.99054370017333,amp,iso,0.16368494151565366,45.99054370017333,amp,iso,0.16368494151565366,45.99054370017333,amp,iso,0.16368494151565366,-5.3358,-0.17753814603229293,0.16774334951460165,False,0.0,-0.17753814603229293,0.16729652289625085,fail_ef_outside,0.03552342214356779
JVASP-6418,AlBr3,2,2,64,40,52-53,53,2,0.3417668217766451,0.34483466892854375,0.3452814955468946,0.3273698830313073,0.3666425775270171,0.09689904459768632,10.453727717866457,0.1527981411611902,0.01327602628216467,0.09999391542852071,0.07385006331604117,46.014744896588844,amp,iso,0.16368494151565366,46.014744896588844,amp,iso,0.16368494151565366,46.014744896588844,amp,iso,0.16368494151565366,-5.3358,-0.17753814603229293,0.16774334951460165,False,0.0,-0.17402347226204554,0.16774334951460165,fail_ef_outside,0.035527315471201096
JVASP-6448,S5N6,5,2,66,40,0-1,0,2,0.02273192414880576,0.022731924148818194,0.02325335255245342,0.8663617727898245,1.163014109112566,0.06786542893403523,14.743045334234802,0.10506762844792325,-12.965555599434703,0.022458246262485024,0.06775033965303708,85.28775446258197,amp,iso,0.43318088639491226,85.28775446258197,amp,iso,0.43318088639491226,35.4396887891983,amp,adiab,0.18,-5.1936,-12.973096218640622,-12.949842866088169,False,1.0,-12.973096218640622,-12.950364294491804,fail_ef_outside,0.07892845137125915
