icsd,material_id,formula,space_group_number,curated,best,atomic,pass_sites,shells,doublet_kinds,chem_flag,lone_pair,jt_ions
76793,76793,C1 Co3 Sc1,221,1,0,0,Sc1|C1,-|3d,"e_g{z2,x2-y2}",0,,
76797,76797,C1 Co3 Zn1,221,1,1,0,Zn1|C1,-|3d,"e_g{z2,x2-y2}",0,,
76842,76842,C1 Fe3 Sn1,221,1,0,0,Sn1|C1,-,"e_g{z2,x2-y2}",1,Sn,
76845,23586,C1 Ga1 Mn3,221,1,0,0,Ga1|C1,-,"e_g{z2,x2-y2}",0,,
76848,76848,C1 Ga1 Mo4 S8,216,1,1,0,Ga1|C1,-,"e_g{z2,x2-y2}",0,,
76964,76964,F2 O1 Pb2,115,1,0,0,O1|O2,-,"p{x,y}|{xz,yz}",1,Pb,
77060,31865,Ca1 O3 Ti1,221,1,0,0,Ca1|Ti1,-|3d,"e_g{z2,x2-y2}",0,,
77071,77071,F3 Sc1,221,1,1,0,Sc1,3d,"e_g{z2,x2-y2}",0,,
77142,77142,Co1 O3 Sr1,221,1,0,0,Sr1|Co1,-|3d,"e_g{z2,x2-y2}",0,,
77153,77153,C1 Mn3 Sn1,221,1,0,0,Sn1|C1,-,"e_g{z2,x2-y2}",1,Sn,
77154,77154,C1 Mn3 Zn1,221,1,0,0,Zn1|C1,-|3d,"e_g{z2,x2-y2}",0,,
77196,77196,Br1 O1 Rb3,221,1,0,0,Br1|O1,-,"e_g{z2,x2-y2}",0,,
77242,77242,Br3 Ca1 Cs1,221,1,0,0,Cs1|Ca1,-,"e_g{z2,x2-y2}",0,,
77277,77277,B1 Be2 F2 K1 O3,155,1,0,0,K1|B1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
77343,77343,K1 Na1 O4 S1,164,1,0,0,Na1|Na2,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
77389,77389,C1 Rh3 Y1,221,1,1,0,Y1|C1,-|4d,"e_g{z2,x2-y2}",0,,
77597,77597,Na1 Se2 V1,166,1,0,0,Na1|V1,-|3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
77669,49019,Mn2 P2 Sr1,164,1,0,0,Sr1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
77670,49019,Mn2 P2 Sr1,164,1,0,0,Sr1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
77679,16810,O3 Re1,221,1,0,0,Re1,5d,"e_g{z2,x2-y2}",0,,
77739,77739,O6 Pb2 Sc1 Ta1,225,1,0,0,Sc1|Ta1,3d|5d,"e_g{z2,x2-y2}",1,Pb,
77865,77865,Pb1 S1,221,1,0,0,Pb1|S1,-,"e_g{z2,x2-y2}",1,Pb,
77919,16640,F6 Na1 Sb1,225,1,0,0,Sb1|Na1,-,"e_g{z2,x2-y2}",1,Sb,
77960,76413,Ni3 Si1,221,1,1,0,Si1,-,"e_g{z2,x2-y2}",0,,
78677,78677,Fe1 O6 Sr2 W1,87,1,0,0,W1|Fe1,3d|5d,"p{x,y}|{xz,yz}",0,,
78712,51207,Fe1 Li1 O2,166,1,0,0,Li1|Fe1,-|3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
78895,16795,F4 Pb1,139,1,0,0,Pb1,-,"p{x,y}|{xz,yz}",1,Pb,
78905,37448,F6 Ni1 Pt1,148,0,0,1,Ni1|Pt1,3d|5d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
78906,37445,Cd1 F6 Pt1,148,0,0,1,Cd1|Pt1,4d|5d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
78928,78928,Cs4 F12 Fe2 K1 Li1,166,0,0,1,K1|Li1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
78955,78955,Cs2 F6 Pt1,225,0,0,1,Pt1,5d,"e_g{z2,x2-y2}",0,,
79086,79086,Au1 K3 O1,221,1,0,0,Au1|O1,-|5d,"e_g{z2,x2-y2}",0,,
79087,75499,Au1 O1 Rb3,221,1,0,0,Au1|O1,-|5d,"e_g{z2,x2-y2}",0,,
79099,79099,H8 F6 In1 N2 Na1,225,1,0,0,In1|Na1,-,"e_g{z2,x2-y2}",0,,
79114,79114,Cs2 Cu3 F12 Zr1,166,1,0,0,Zr1,4d,"p{x,y}|{xy,x2-y2}|{xz,yz}",1,,Cu2+
79574,41549,C1 B2 Ni2 Y1,139,1,0,0,Y1|C1,-|4d,"p{x,y}|{xz,yz}",0,,
79593,79593,C6 Bi1 Cs2 N6 Na1 S6,147,0,0,1,Bi1|Na1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",1,Bi,
