jid,formula,spg,dim,band,W_band,M_trg,d_iso,nphi,gap_mean,unif_gap
JVASP-20040,KrF2,47,2,7,0.3413309605822903,0.7810623669561765,0.11869475420872888,5.3306964786285445,0.0032604915467339722,0.04096712931175209
JVASP-20040,KrF2,47,2,18,0.40127177149946025,0.11204269855017629,3.004418382465972,3.6671246312326913,0.006114045322199344,0.0022077434548696535
JVASP-20042,W6CCl8,174,2,1,0.07927301623558591,3.584488555230958,4.954339372928997,3.3837043279655132,0.01288854614546262,0.016466855072268367
JVASP-20042,W6CCl8,174,2,128,0.06564727033533746,1.6436761173757333,0.12717480905870948,85.81789577562137,0.0053812108589209925,0.0008110450899789194
JVASP-20042,W6CCl8,174,2,129,0.050782865267785304,1.640792401692555,0.12717480905870948,86.849440038628,0.0053812108589209925,0.0008110450899789194
JVASP-20042,W6CCl8,174,2,140,0.07600503213266996,1.584081412306932,0.21542439592324492,72.01871895638428,0.0009093505464536182,0.0035675258013804965
JVASP-20042,W6CCl8,174,2,141,0.07760792055557819,1.582737452119759,0.21542439592324492,71.90717395765371,0.0009093505464536182,0.0035675258013804965
JVASP-20042,W6CCl8,174,2,142,0.05106856492677059,2.685731556869226,0.1134027716732211,38.23026779633767,0.004124682802809167,0.00039395037229414826
JVASP-20042,W6CCl8,174,2,143,0.049601183668454674,2.6910894807531456,0.1134027716732211,37.75088703068552,0.004124682802809167,0.00039395037229414826
JVASP-20042,W6CCl8,174,2,168,0.10729584765916822,1.6600878216842045,0.23111904607649666,68.22634880673746,0.010890954089769736,0.009560472632793849
JVASP-20042,W6CCl8,174,2,169,0.10876535506755713,1.6627758343398416,0.23111904607649666,69.91025827201197,0.010890954089769736,0.009560472632793849
JVASP-20042,W6CCl8,174,2,174,0.13830308785663958,1.7829534023280598,0.06153094808253856,40.95113736158403,0.049856533972802736,0.0005194351557342027
JVASP-20042,W6CCl8,174,2,175,0.05103835633521281,1.6935453423153746,0.06153094808253856,39.62659367598181,0.049856533972802736,0.0005194351557342027
JVASP-21389,Sr3CuPtO6,15,3,102,0.2719736057230806,0.4644890313327107,0.2690869263696851,16.12643222473726,0.19490222864243614,0.0975378193762773
JVASP-21389,Sr3CuPtO6,15,3,103,0.2348806542909907,0.4513742627922367,0.2690869263696851,17.937567329993353,0.19490222864243614,0.0975378193762773
JVASP-21502,Li2RhF6,136,3,82,0.08465149626070878,0.7371268878357692,0.10035091958111297,10.090905844626805,0.02822015574116843,0.0008503784119725446
JVASP-21502,Li2RhF6,136,3,83,0.0609397794603459,0.7781605930579247,0.10035091958111297,8.658441530198148,0.02822015574116843,0.0008503784119725446
JVASP-22031,Tl6TeO12,148,3,126,0.27104621110294147,0.25067561056453797,0.3861530183312425,3.1512585204566763,0.03371646421007059,0.6562068026476573
