jid,formula,band,norb,dim,M_naive,M_min,ratio,centres,status
JVASP-27971,CoCl2O8,54,72,2,0.559395175544472,nan,nan,no,NO_CENTRES
JVASP-27971,CoCl2O8,55,72,2,0.6032419998680627,nan,nan,no,NO_CENTRES
JVASP-27971,CoCl2O8,70,72,2,0.19800761731046235,nan,nan,no,NO_CENTRES
JVASP-27971,CoCl2O8,71,72,2,0.16880665390116,nan,nan,no,NO_CENTRES
JVASP-27982,ZnC2S2O6F6,82,118,2,4.226824532261517,4.102198299540029,0.9705153994990162,minus,OK
JVASP-27982,ZnC2S2O6F6,83,118,2,4.230792065652272,4.106788762708487,0.9706902865894765,minus,OK
JVASP-28027,Bi4Te3S8,52,264,2,1.704134141804119,1.6649004791061301,0.976977362441402,minus,OK
JVASP-28027,Bi4Te3S8,53,264,2,1.7050941738187726,1.6652598752051961,0.9766380653777248,minus,OK
JVASP-28065,AgBiP2Se6,0,84,2,1.310608292518112,1.2133693107431647,0.9258062211798469,minus,OK
JVASP-28065,AgBiP2Se6,1,84,2,1.3107320747629396,1.2136497393579044,0.9259327384487835,minus,OK
JVASP-28065,AgBiP2Se6,2,84,2,1.086935199949785,0.960696709108921,0.8838583101856523,minus,OK
JVASP-28065,AgBiP2Se6,3,84,2,1.0872904785068704,0.9611791370053306,0.8840132016287652,minus,OK
JVASP-28065,AgBiP2Se6,14,84,2,1.6972266823639537,1.5384584781852126,0.9064543317468923,minus,OK
JVASP-28065,AgBiP2Se6,15,84,2,1.6936498255234147,1.535194071814665,0.906441254076958,minus,OK
JVASP-28065,AgBiP2Se6,16,84,2,0.8039312115320482,0.7352747931509092,0.9145991380900602,minus,OK
JVASP-28065,AgBiP2Se6,17,84,2,0.8035847323239742,0.7364729324284016,0.9164844761280062,minus,OK
JVASP-28153,HgF,0,48,2,1.4593853756962556,1.4597552413223616,1.0002534393123745,minus,OK
JVASP-28153,HgF,1,48,2,1.4594390980635263,1.4603331041118786,1.0006125682459368,minus,OK
JVASP-28153,HgF,2,48,2,0.6612804799067752,0.6613142969433443,1.0000511387188895,plus,OK
JVASP-28153,HgF,3,48,2,0.6613821841480381,0.6614040534948968,1.0000330661263381,minus,OK
JVASP-28153,HgF,4,48,2,0.6064529879617795,0.6064564865104249,1.0000057688703246,minus,OK
JVASP-28153,HgF,5,48,2,0.6066159524798866,0.6066203085540651,1.0000071809423419,minus,OK
JVASP-28153,HgF,6,48,2,1.4318260214129435,1.4316709568707335,0.9998917015476105,minus,OK
JVASP-28153,HgF,7,48,2,1.4311060917353124,1.430892613160295,0.999850829665075,minus,OK
JVASP-28153,HgF,12,48,2,1.1247592303844987,1.1250340726832273,1.0002443565621015,plus,OK
JVASP-28153,HgF,13,48,2,1.125058285727931,1.1251636370600586,1.0000936407770726,minus,OK
JVASP-28153,HgF,14,48,2,1.036081196976193,1.0357699783779988,0.9996996194901495,minus,OK
