jid,formula,spg_number,spg_symbol,dimensionality,icsd,mp_id,num_wann,num_bands,optb88vdw_bandgap,zip,zip_bytes,n_files_in_zip,has_hr_dat,hr_dat_name,hr_dat_bytes,has_win,has_wout,has_eig,has_poscar,figshare_article,error,metadata_source
JVASP-18603,ErInAu2,225,Fm-3m,3D,58449,mp-30376,48,65,0.0,JVASP-18603.zip,5801199,12,True,wannier90_hr.dat,27303662,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18604,ErPbAu,216,F-43m,3D,58450,mp-30377,36,49,0.0,JVASP-18604.zip,7191291,12,True,wannier90_hr.dat,34411552,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18606,Li2GaAu,216,F-43m,3D,58461,mp-30381,24,50,0.0,JVASP-18606.zip,1873568,12,True,wannier90_hr.dat,6711642,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18612,Li2InAu,216,F-43m,3D,58497,mp-30392,24,58,0.0,JVASP-18612.zip,1887613,12,True,wannier90_hr.dat,6711642,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18613,LuInAu2,225,Fm-3m,3D,58498,mp-30393,58,62,0.0,JVASP-18613.zip,7787966,12,True,wannier90_hr.dat,38855432,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18629,BaTl2,194,P6_3/mmc,3D,58681,mp-30434,56,72,0.0,JVASP-18629.zip,5789027,12,True,wannier90_hr.dat,30577049,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18632,SrCuBi,194,P6_3/mmc,3D,58777,mp-30451,64,92,0.001,JVASP-18632.zip,4735239,12,True,wannier90_hr.dat,23962254,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18639,ThBi,221,Pm-3m,3D,58860,mp-30468,20,40,0.0,JVASP-18639.zip,3304875,12,True,wannier90_hr.dat,14583755,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18650,Na2CdSn,194,P6_3/mmc,3D,102034,mp-30492,72,80,0.0,JVASP-18650.zip,6496890,12,True,wannier90_hr.dat,31882285,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18688,CuSnRh2,225,Fm-3m,3D,103092,mp-30595,44,68,0.0,JVASP-18688.zip,4427303,12,True,wannier90_hr.dat,22555642,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18703,LiMg2Ga,225,Fm-3m,3D,103782,mp-30648,26,40,0.0,JVASP-18703.zip,1870474,12,True,wannier90_hr.dat,7809032,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18735,Li2MgPb,225,Fm-3m,3D,"174025,104746",mp-30758,20,44,0.0,JVASP-18735.zip,1400471,12,True,wannier90_hr.dat,4621232,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18737,Li3Pb,225,Fm-3m,3D,104764,mp-30760,14,48,0.0,JVASP-18737.zip,874208,12,True,wannier90_hr.dat,2480743,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18738,Li7Pb2,164,P-3m1,3D,104765,mp-30761,30,78,0.0,JVASP-18738.zip,2141364,12,True,wannier90_hr.dat,8776049,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18740,LiPt2,227,Fd-3m,3D,104778,mp-30764,52,92,0.0,JVASP-18740.zip,6488297,12,True,wannier90_hr.dat,32314072,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18767,Li2AlRh,216,F-43m,3D,105508,mp-30820,24,62,0.0,JVASP-18767.zip,1894672,12,True,wannier90_hr.dat,6711642,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18771,V3Pb,223,Pm-3n,3D,105639,mp-30830,88,104,0.0,JVASP-18771.zip,21227171,12,True,wannier90_hr.dat,132811399,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18777,ScSnPt2,225,Fm-3m,3D,105788,mp-30844,44,62,0.0,JVASP-18777.zip,4549652,12,True,wannier90_hr.dat,22555642,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
