num,formula,space_group_symbol,space_group_number,topology_at_Ef,is_top_candidate,best_figure,best_figure_number,sublattices,magnetic,superconductor,high_quality,n_icsd,icsd_ids,icsd_extra_sublattice_labels,material_id,verification,icsd_ids_verified,n_icsd_verified,site_formula,site_space_group_number
95,CuWO3F2,P21/m,11,SM,no,,,"b,s",FM,,HQ,1,60759,,60759,matched,60759,1,Cu1 F2 O3 W1,11
96,K(VO)H(SeO3)2,P21/m,11,SM,no,,,b,FM,,HQ,1,82535,,82535,matched,82535,1,H1 K1 O7 Se2 V1,11
97,(NH4)(H(VO)(SeO3)2),P21/m,11,SM,no,,,,FM,,,1,97400,,97400,matched,97400,1,H5 N1 O7 Se2 V1,11
98,PbPdSi(P2O7)2,P21/m,11,Triv.,no,,,"b,s",NM,,,2,195306 420535,,195306,matched,195306 420535,2,O14 P4 Pb1 Pd1 Si1,11
99,Na3Ni(PO4)(CO3),P21/m,11,Triv.,no,,,b,AFM,,HQ,1,237798,,237798,matched,237798,1,C1 Na3 Ni1 O7 P1,11
100,K3(Ru(P2Se6)(P3Se4)),P21/m,11,Triv.,no,,,,NM,,,1,406200,,406200,matched,406200,1,K3 P5 Ru1 Se10,11
101,(NO)Cu(NO3)3,P21/m,11,SM,no,,,,,,HQ,1,422033,,422033,matched,422033,1,Cu1 N4 O10,11
102,Cu3GeP2O10,P21/m,11,SM,no,,,b,FM,,,1,426627,,426627,matched,426627,1,Cu3 Ge1 O10 P2,11
103,As4S5,P21/m,11,Triv.,no,,,,NM,,HQ,2,16107 98901,,16107,matched,16107 98901,2,As4 S5,11
104,Ba2(Zn2F7Cl),P21/m,11,Triv.,no,,,"b,s",NM,,HQ,1,79478,,79478,matched,79478,1,Ba2 Cl1 F7 Zn2,11
105,Ba2(Co2F7Cl),P21/m,11,Triv.,yes,Fig. 27,27,"b,s",FM,,HQ,1,79479,,79479,matched,79479,1,Ba2 Cl1 Co2 F7,11
106,Ba2Ni2F7Cl,P21/m,11,Triv.,yes,Fig. 27,27,"b,s",FM,,HQ,1,84782,,84782,matched,84782,1,Ba2 Cl1 F7 Ni2,11
107,CuZnCl(OH)3,P21/m,11,SM,no,,,b,FM,,,1,252429,,252429,matched,252429,1,H3 Cl1 Cu1 O3 Zn1,11
108,Cu2Sc2(Ge4O13),P21/m,11,Triv.,no,,,b,FM,,,5,99599 99600 99601 99602 99603,,99599,matched,99599 99600 99601 99602 99603,5,Cu2 Ge4 O13 Sc2,11
109,Y3(VO5)(OH)3,P21/m,11,SM,no,,,,FM,,HQ,1,262400,,262400,matched,262400,1,H3 O8 V1 Y3,11
110,La3(VO5)(OH)3,P21/m,11,SM,no,,,,AFM,,HQ,1,262402,,262402,matched,262402,1,H3 La3 O8 V1,11
111,Na3In(PO4)2,P21/m,11,Triv.,no,,,b,NM,,HQ,2,87833 90941,,87833,matched,87833 90941,2,In1 Na3 O8 P2,11
112,PbSO4(PbO)2,P21/m,11,Triv.,no,,,,NM,,,5,61427 61428 30711 63639 100681,61427(b) 61428(b) 63639(b) 100681(b),30711,matched,30711 61427 61428 63639 100681,5,O6 Pb3 S1,11
113,TlCu(OH)SO4,P21/m,11,SM,no,,,b,FM,,HQ,1,36581,,36581,matched,36581,1,H1 Cu1 O5 S1 Tl1,11
114,La3Os2O10,C2/m,12,SM,no,,,,FM,,HQ,1,10104,,10104,matched,10104,1,La3 O10 Os2,12
115,MoV2O8,C2/m,12,TI,yes,Fig. 27,27,b,NM,,,1,28471,,28471,matched,28471,1,Mo1 O8 V2,12
116,LiH2PO2,C2/m,12,Triv.,no,,,,NM,,HQ,2,59823 250176,,59823,matched,59823 250176,2,H2 Li1 O2 P1,12
117,Sr7Re4O19,C2/m,12,Triv.,no,,,"b,s",FM,,HQ,1,93804,,93804,matched,93804,1,O19 Re4 Sr7,12
118,(Sr2CoO3),C2/m,12,SM,yes,Fig. 27,27,,FM,,,1,99894,,99894,matched,99894,1,Co1 O3 Sr2,12
119,Cr3O8,C2/m,12,TI,yes,Fig. 27,27,b,FM,,,1,155847,,155847,matched,155847,1,Cr3 O8,12
120,Cr3O8,C2/m,12,Triv.,no,,,,FM,,,1,155848,,155848,matched,155848,1,Cr3 O8,12
121,LiH3As2O7,C2/m,12,Triv.,no,,,,NM,,HQ,1,172988,,172988,matched,172988,1,H3 As2 Li1 O7,12
122,MgBr2(H2O)6,C2/m,12,Triv.,no,,,,NM,,HQ,1,189844,,189844,matched,189844,1,H12 Br2 Mg1 O6,12
123,Br6Si2,C2/m,12,Triv.,no,,,,NM,,,1,239354,,239354,matched,239354,1,Br6 Si2,12
124,Br4Nb,C2/m,12,Triv.,no,,,"b,s",NM,,,1,239640,,239640,matched,239640,1,Br4 Nb1,12
125,Li2CrCl4,C2/m,12,Triv.,no,,,b,FM,,HQ,1,403035,,403035,matched,403035,1,Cl4 Cr1 Li2,12
126,BaAu2(SO4)4,C2/m,12,Triv.,no,,,b,NM,,HQ,1,427677,,427677,matched,427677,1,Au2 Ba1 O16 S4,12
127,ReSCl3,C2/m,12,Triv.,no,,,"b,s",,,,1,429458,,429458,matched,429458,1,Cl3 Re1 S1,12
128,Li4N1,C2/m,12,Triv.,no,,,,,,,1,675129,,675129,matched,675129,1,Li4 N1,12
129,AgPdZr2F11,C2/m,12,Triv.,no,,,,FM,,HQ,1,65181,,65181,matched,65181,1,Ag1 F11 Pd1 Zr2,12
130,NaPd(Zr2F11),C2/m,12,Triv.,no,,,,FM,,HQ,1,77241,,77241,matched,77241,1,F11 Na1 Pd1 Zr2,12
131,NaCo(Zr2F11),C2/m,12,SM,no,,,,FM,,HQ,1,81221,,81221,matched,81221,1,Co1 F11 Na1 Zr2,12
132,NaNi(Zr2F11),C2/m,12,Triv.,no,,,,FM,,HQ,1,81222,,81222,matched,81222,1,F11 Na1 Ni1 Zr2,12
133,NaZn(Zr2F11),C2/m,12,Triv.,no,,,,NM,,HQ,1,81223,,81223,matched,81223,1,F11 Na1 Zn1 Zr2,12
134,CaC2,C2/m,12,Triv.,no,,,,NM,,HQ,23,54185 54188 94385 252719 252725 252728 252731 252740 252743 252746 252749 252752 252755 252758 252761 252764 252767 252770 252773 252776 290833 411190 672970,,54185,matched,54185 54188 94385 252719 252725 252728 252731 252740 252743 252746 252749 252752 252755 252758 252761 252764 252767 252770 252773 252776 290833 411190 672970,23,C2 Ca1,12
135,Mg(CrO4),C2/m,12,Triv.,no,,,b,NM,,,1,18120,,18120,matched,18120,1,Cr1 Mg1 O4,12
136,Ag3In(PO4)2,C2/m,12,Triv.,no,,,b,NM,,HQ,1,245001,,245001,matched,245001,1,Ag3 In1 O8 P2,12
137,Ga2O3,C2/m,12,Triv.,no,,,b,NM,,HQ,6,34243 83645 166198 184327 603563 673058,,34243,matched,34243 83645 166198 184327 603563 673058,6,Ga2 O3,12
138,Al2O3,C2/m,12,Triv.,no,,,b,NM,,HQ,2,82504 673079,,82504,matched,82504 673079,2,Al2 O3,12
139,La6I5Ge3,C2/m,12,SM,no,,,b,,,HQ,1,414175,,414175,matched,414175,1,Ge3 I5 La6,12
140,YCl(MoO4),C2/m,12,Triv.,no,,,b,NM,,HQ,1,249647,,249647,matched,249647,1,Cl1 Mo1 O4 Y1,12
141,K2Na(Ag(CN)2)3,C2/m,12,Triv.,yes,Fig. 27,27,"k∗,b",NM,,HQ,0,,,59723,matched,59723 59724 59725 59726,4,C6 Ag3 K2 N6 Na1,12
142,Pb2O(SO4),C2/m,12,Triv.,no,,,,NM,,HQ,8,59723 59724 59725 59726 14246 29268 30627 35757,"14246(b,s) 29268(b,s)",14246,matched,14246 29268 30627 35757,4,O5 Pb2 S1,12
143,Pb2O(WO4),C2/m,12,Triv.,no,,,,NM,,,1,61399,,61399,matched,61399,1,O5 Pb2 W1,12
144,Pb2Co(WO6),C2/m,12,SM,no,,,"b,s",AFM,,HQ,1,77912,,77912,matched,77912,1,Co1 O6 Pb2 W1,12
145,TlFeS2,C2/m,12,Triv.,no,,,,NM,,,2,30011 63381,,30011,matched,30011 63381,2,Fe1 S2 Tl1,12
146,TlFeS2,C2/m,12,TI,no,,,,NM,,,2,600815 659748,,600815,matched,600815 659748,2,Fe1 S2 Tl1,12
147,Ba3Y2PtCu2O10,C2/m,12,TI,no,,,"b,s",NM,,HQ,1,62390,,62390,matched,62390,1,Ba3 Cu2 O10 Pt1 Y2,12
148,Y2Ba3Cu2PtO10,C2/m,12,TI,no,,,"b,s",NM,,HQ,1,65614,,65614,matched,65614,1,Ba3 Cu2 O10 Pt1 Y2,12
