num,formula,space_group_symbol,space_group_number,topology_at_Ef,sublattices,magnetic,superconductor,high_quality,n_icsd,icsd_ids,icsd_extra_sublattice_labels
685,Cs(NH4)2Cr(O2)4,I4̄2m,121,SM,,FM,,HQ,2,237787 261393,
686,Ba4Na(CuO4)(CO3)2,I4̄2m,121,Triv.,,NM,,HQ,2,66776 80606,
687,K3(Cr(O2)4),I4̄2m,121,SM,,FM,,HQ,5,9356 9676 23536 30404 280253,
688,K3(VO4),I4̄2m,121,Triv.,,NM,,,1,4138,
689,K3(MnO4),I4̄2m,121,Triv.,,AFM,,,1,108935,
690,K4(CO4),I4̄2m,121,Triv.,,NM,,,2,245419 245420,
691,Be(OH2)4(NO3)2,I4̄2d,122,Triv.,,NM,,,1,15858,
692,K(HC(NO)2),I4̄2d,122,Triv.,,NM,,HQ,1,170586,
693,(NH4)(H2PO4),I4̄2d,122,Triv.,b,NM,,HQ,15,28154 54776 63494 63634 84114 174048 246299 174049 174050 66204 28155 66203 66205 66206 174061,246299(s) 66204(s) 66205(s) 66206(s) 174061(s)
694,(NH4)(H2AsO4),I4̄2d,122,Triv.,b,NM,,HQ,1,200219,
695,Co(B(CN)4)2(H2O)2,I4̄2d,122,SM,,,,,1,260263,
696,Rb(H2PO4),I4̄2d,122,Triv.,b,NM,,HQ,1,69317,
697,Na5(NiO2)S,P4/mmm,123,SM,"b,s",FM,,HQ,1,412972,
698,Na5(CuO2)S,P4/mmm,123,Triv.,"b,s",NM,,HQ,1,412977,
699,(P(NH2)4)I,P4/nbm,125,Triv.,,NM,,HQ,1,74814,
700,((NH2)4P)I,P4/nbm,125,TI,,,,HQ,1,400461,
701,(P(NH2)4)Br,P4/nbm,125,Triv.,,FM,,HQ,1,410797,
702,Cs3(SiF6)F,P4/mbm,127,Triv.,,NM,,,1,9588,
703,Rb2CsSiF7,P4/mbm,127,Triv.,,NM,,,1,9592,
704,Cs3TiF7,P4/mbm,127,Triv.,,NM,,,1,9594,
705,Cs3CrF7,P4/mbm,127,Triv.,,FM,,,1,9596,
706,Rb3CrF7,P4/mbm,127,Triv.,,FM,,,1,9597,
707,Cs3(MnF6)F,P4/mbm,127,SM,,FM,,,1,9598,
708,Rb3(MnF6)F,P4/mbm,127,SM,,FM,,,1,9599,
709,K3Cl(ReF6),P4/mbm,127,SM,,FM,,,1,80170,
710,Pb2Cl2(CO3),P4/mbm,127,Triv.,,NM,,,3,4240 29113 36241,
711,Pb2Br2(CO3),P4/mbm,127,Triv.,,NM,,,2,29114 250396,
712,Cs2Li(Cr(CN)6),P4/mnc,128,SM,,FM,,,1,804,
713,Na2Cl(B(OH)4),P4/nmm,129,Triv.,,NM,,,1,32518,
714,(N(CH3)4)I,P4/nmm,129,Triv.,,NM,,,1,55080,
715,Cs(ReF8),P4/nmm,129,Triv.,,NM,,,1,410829,
716,KNaWO2F4,P4/nmm,129,Triv.,b,NM,,,1,422709,
717,KNaMoO2F4,P4/nmm,129,Triv.,b,NM,,,1,422707,
718,BaFCl,P4/nmm,129,Triv.,,NM,,,17,2350 35487 35488 35489 35490 35491 35492 35493 85319 155004 183925 201514 201515 201516 201517 201518 201519,
719,(VO)(P2SiO8),P4/ncc,130,SM,"b,s",FM,,,1,628,
720,Mo(AlP2O9),P4/ncc,130,SM,"b,s",,,,1,67221,
721,PtZn(CN)4,P42/mcm,132,Triv.,,NM,,HQ,1,169758,
722,PdZn(CN)4,P42/mcm,132,Triv.,,,,HQ,1,169759,
723,NiZn(CN)4,P42/mcm,132,Triv.,,,,HQ,1,169760,
724,Cs4K2Cu(SiO4)2,P42/mnm,136,SM,"b,s",FM,,,1,92493,
725,Li2PtF6,P42/mnm,136,Triv.,b,NM,,HQ,2,248725 165216,
726,K3NiO2,P42/mnm,136,SM,b,FM,,HQ,1,262579,
727,Cs3NiO2,P42/mnm,136,SM,b,,,HQ,1,424578,
728,Rb3NiO2,P42/mnm,136,SM,b,FM,,HQ,1,424579,
729,K2(CuCl4)(H2O)2,P42/mnm,136,SM,,FM,,,2,15943 16052,
730,(NH4)2(CuCl4)(H2O)2,P42/mnm,136,SM,,FM,,,3,23750 163014 420586,
